Section,Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W
Leading Stocks (RS > 90),12,UCTT,118.82,2602750,Technology,Semiconductor Equipment & Materials,98.0,96.0,97.0,98.0,1115459.0,1315260.0,125.0,21.28,5326504960,NO,89.65,52.07,93.13,63.06
Leading Stocks (RS > 90),13,KLIC,125.22,3483897,Technology,Semiconductor Equipment & Materials,97.0,94.0,96.0,97.0,884150.0,1412570.0,133.41,31.32,6553122816,NO,100.75,64.58,104.97,75.86
Leading Stocks (RS > 90),14,LQDA,78.17,3429142,Healthcare,Drug Manufacturers - Specialty & Generic,98.0,96.0,97.0,97.0,1777732.0,3186120.0,79.41,11.85,6951508992,NO,55.67,38.09,57.98,43.68
Leading Stocks (RS > 90),15,AMAT,626.84,27518637,Technology,Semiconductor Equipment & Materials,97.0,98.0,96.0,97.0,7904675.0,12085760.0,669.22,154.47,497685561344,NO,463.56,327.04,486.58,379.45
Leading Stocks (RS > 90),16,GLW,221.05,45211402,Technology,Electronic Components,97.0,92.0,94.0,97.0,13373911.0,15713850.0,230.5,51.32,190243995648,NO,182.17,123.35,186.78,140.97
Leading Stocks (RS > 90),17,NWPX,148.01,520551,Basic Materials,Steel,97.0,95.0,96.0,97.0,156635.0,206020.0,152.03,40.01,1426373504,NO,113.21,76.83,117.91,86.8
Leading Stocks (RS > 90),18,MU,1132.33,84431604,Technology,Semiconductors,98.0,95.0,98.0,98.0,51577108.0,56595390.0,1255.0,103.38,1278845648896,NO,802.14,425.84,834.43,522.55
Leading Stocks (RS > 90),19,ALOT,28.47,182587,Technology,Computer Hardware,98.0,98.0,98.0,98.0,117895.0,425650.0,28.68,6.96,221249648,NO,16.25,10.93,17.47,11.98
Leading Stocks (RS > 90),20,CRDO,238.0,38419301,Technology,Semiconductors,96.0,94.0,98.0,95.0,7892711.0,8907810.0,308.67,84.25,44381741056,NO,209.13,156.43,219.21,159.57
Leading Stocks (RS > 90),21,MBX,52.31,2064265,Healthcare,Biotechnology,97.0,98.0,96.0,94.0,687385.0,1229240.0,53.51,9.63,2489827072,NO,34.71,29.47,35.96,33.89
Leading Stocks (RS > 90),22,ELVN,50.08,5876733,Healthcare,Biotechnology,96.0,92.0,91.0,97.0,1298151.0,3168410.0,50.55,14.79,3577629184,NO,41.98,28.78,42.42,32.86
Leading Stocks (RS > 90),23,TER,436.86,11458613,Technology,Semiconductor Equipment & Materials,97.0,93.0,92.0,97.0,4014537.0,6066400.0,472.37,88.6,68387004416,NO,379.83,261.5,382.98,306.83
Leading Stocks (RS > 90),24,VECO,70.95,4184307,Technology,Semiconductor Equipment & Materials,97.0,93.0,96.0,97.0,1511517.0,1744040.0,86.63,19.29,4330325504,NO,60.2,38.26,62.38,42.46
Leading Stocks (RS > 90),25,TWST,99.84,4104153,Healthcare,Diagnostics & Research,97.0,98.0,97.0,98.0,1635898.0,2575240.0,104.23,23.3,6217167360,NO,66.38,44.83,68.76,51.27
Leading Stocks (RS > 90),26,ATEX,89.67,937852,Communication Services,Telecom Services,97.0,96.0,97.0,98.0,398180.0,658540.0,90.0,17.58,1696042752,NO,59.95,34.78,64.0,41.78
Leading Stocks (RS > 90),27,RVMD,182.08,7554451,Healthcare,Biotechnology,97.0,94.0,96.0,97.0,3284082.0,3075550.0,184.39,34.0,38709563392,NO,151.23,98.5,151.95,116.45
Leading Stocks (RS > 90),28,SPHR,169.85,1621560,Communication Services,Entertainment,97.0,96.0,94.0,95.0,706954.0,717980.0,171.26,37.89,6079306240,NO,140.38,102.23,143.16,117.87
Leading Stocks (RS > 90),29,ACMR,104.5,3414637,Technology,Semiconductor Equipment & Materials,97.0,95.0,97.0,97.0,1540016.0,1870090.0,111.41,23.03,7221941248,NO,72.55,51.04,77.86,58.55
Leading Stocks (RS > 90),30,MTRN,287.02,629241,Basic Materials,Other Industrial Metals & Mining,97.0,96.0,97.0,97.0,289211.0,425080.0,287.0,78.4,5970441728,NO,216.29,154.59,224.36,170.31
Leading Stocks (RS > 90),31,LRCX,379.09,19520350,Technology,Semiconductor Equipment & Materials,97.0,94.0,96.0,96.0,10263432.0,14288390.0,409.75,90.94,474078969856,NO,310.35,217.19,316.5,248.62
Leading Stocks (RS > 90),32,CAT,997.47,13879126,Industrials,Farm & Heavy Construction Machinery,95.0,92.0,93.0,95.0,2700283.0,3625190.0,1057.07,382.75,459426660352,NO,890.83,682.23,911.97,756.12
Leading Stocks (RS > 90),33,ALGM,57.89,12163915,Technology,Semiconductors,95.0,93.0,96.0,97.0,2403679.0,3107760.0,61.67,22.41,10785431552,NO,47.76,35.29,49.49,38.63
Leading Stocks (RS > 90),34,STRZ,28.98,503090,Communication Services,Entertainment,96.0,96.0,97.0,97.0,151890.0,113700.0,29.25,8.4,486555776,NO,23.01,14.6,23.88,15.89
Leading Stocks (RS > 90),35,TVTX,58.85,4035354,Healthcare,Biotechnology,97.0,95.0,97.0,94.0,2474912.0,2567340.0,60.1,14.36,5472632320,NO,46.05,34.52,47.33,36.89
Leading Stocks (RS > 90),36,MKSI,388.61,1891265,Technology,Scientific & Technical Instruments,97.0,93.0,95.0,97.0,1204188.0,1472330.0,421.58,88.49,26248323072,NO,319.8,218.26,327.39,253.02
Leading Stocks (RS > 90),37,COHU,64.08,2104989,Technology,Semiconductor Equipment & Materials,97.0,97.0,97.0,97.0,1395627.0,1436470.0,70.92,17.8,3022996480,NO,51.6,32.46,53.64,37.24
Leading Stocks (RS > 90),38,PKOH,39.06,314376,Industrials,Specialty Industrial Machinery,95.0,93.0,94.0,95.0,66406.0,83490.0,39.33,15.52,562392512,NO,31.5,24.86,32.4,26.8
Leading Stocks (RS > 90),39,BTSG,68.98,8515126,Healthcare,Health Information Services,96.0,92.0,94.0,95.0,2892922.0,3244860.0,70.72,19.01,13537906688,NO,56.66,41.39,59.02,46.4
Leading Stocks (RS > 90),40,TXG,36.75,8059649,Healthcare,Health Information Services,96.0,97.0,96.0,97.0,2883758.0,3390300.0,37.05,11.16,4665639936,NO,26.36,19.62,27.07,22.15
Leading Stocks (RS > 90),41,KRYS,372.25,1296187,Healthcare,Biotechnology,95.0,94.0,93.0,91.0,299006.0,409050.0,376.28,130.5,10973839360,NO,302.83,249.32,309.83,276.77
Leading Stocks (RS > 90),42,PTRN,22.9,7796256,Technology,Software - Application,94.0,95.0,96.0,96.0,1366817.0,2546900.0,23.03,8.92,4544938496,NO,17.51,,18.15,14.23
Leading Stocks (RS > 90),43,APGE,132.55,5085596,Healthcare,Biotechnology,96.0,98.0,95.0,94.0,2190041.0,9271990.0,133.16,34.34,9965600768,NO,88.42,71.28,89.21,79.73
Leading Stocks (RS > 90),44,ONTO,323.92,2387298,Technology,Semiconductor Equipment & Materials,96.0,94.0,94.0,96.0,1115872.0,1405380.0,353.18,89.4,16112936960,NO,288.61,201.15,291.25,230.93
Leading Stocks (RS > 90),45,PDFS,63.01,1566979,Technology,Software - Application,96.0,97.0,96.0,96.0,741411.0,727650.0,68.76,18.12,2638084864,NO,51.25,35.2,52.63,39.39
Leading Stocks (RS > 90),46,MCS,24.89,1474023,Communication Services,Entertainment,92.0,96.0,92.0,94.0,169761.0,285830.0,24.89,12.85,764828160,NO,19.71,16.67,20.02,17.54
Leading Stocks (RS > 90),47,ALNT,97.63,843169,Technology,Electronic Components,95.0,97.0,94.0,95.0,232885.0,285040.0,104.65,35.36,1659369472,NO,77.86,62.0,79.58,68.03
Leading Stocks (RS > 90),48,KLAC,248.64,21179905,Technology,Semiconductor Equipment & Materials,96.0,96.0,95.0,96.0,10883595.0,15347890.0,269.9,83.22,324792254464,NO,199.93,147.71,208.03,165.33
Leading Stocks (RS > 90),49,ATRO,84.32,1243857,Industrials,Aerospace & Defense,96.0,96.0,94.0,96.0,700187.0,952322.0,88.72,21.76,4161057792,NO,66.37,52.37,68.38,59.12
Leading Stocks (RS > 90),50,ATLC,110.41,341014,Financial Services,Credit Services,95.0,94.0,97.0,93.0,102512.0,187910.0,112.6,45.74,1669178112,NO,83.38,64.88,87.32,68.41
Leading Stocks (RS > 90),51,ARCB,146.29,1142206,Industrials,Trucking,95.0,92.0,94.0,96.0,360222.0,498710.0,176.69,59.43,3256968192,NO,133.62,95.47,137.59,107.48
Leading Stocks (RS > 90),52,SNEX,135.42,2305380,Financial Services,Capital Markets,95.0,94.0,95.0,96.0,771653.0,1224510.0,141.99,53.53,10732237824,NO,116.5,81.78,118.96,90.28
Leading Stocks (RS > 90),53,ALKS,55.08,6784805,Healthcare,Drug Manufacturers - Specialty & Generic,95.0,97.0,96.0,95.0,2397869.0,2885130.0,55.27,25.17,9180504064,NO,39.07,32.58,40.31,34.06
Leading Stocks (RS > 90),54,FRD,34.43,173521,Basic Materials,Steel,94.0,98.0,96.0,94.0,42975.0,116610.0,37.97,14.51,244710912,NO,24.1,20.93,25.76,21.32
Leading Stocks (RS > 90),55,LGND,303.59,1011487,Healthcare,Biotechnology,94.0,96.0,93.0,92.0,282819.0,624350.0,305.71,111.72,6084265472,NO,237.63,204.37,242.56,212.57
Leading Stocks (RS > 90),56,EXTR,31.74,7147284,Technology,Communication Equipment,94.0,91.0,97.0,95.0,2466429.0,2123100.0,32.29,13.48,4150896384,NO,25.0,19.17,26.22,19.16
Leading Stocks (RS > 90),57,FSTR,44.77,315184,Industrials,Railroads,94.0,91.0,94.0,93.0,116146.0,103950.0,45.81,21.67,468235104,NO,38.24,30.71,39.47,32.48
Leading Stocks (RS > 90),58,MSGE,80.3,1800003,Communication Services,Entertainment,93.0,92.0,91.0,92.0,426585.0,587720.0,82.78,35.31,3798610176,NO,69.23,57.13,70.42,62.32
Leading Stocks (RS > 90),59,ATEN,34.98,2201865,Technology,Software - Infrastructure,94.0,93.0,93.0,96.0,1108243.0,1392470.0,35.19,16.52,2518496256,NO,29.44,21.53,29.98,23.29
Leading Stocks (RS > 90),60,MYE,32.14,512814,Consumer Cyclical,Packaging & Containers,94.0,97.0,93.0,94.0,275082.0,490840.0,32.23,12.96,1207092224,NO,23.54,20.3,24.27,21.85
Leading Stocks (RS > 90),61,MIRM,123.77,3345924,Healthcare,Biotechnology,93.0,96.0,91.0,93.0,979937.0,1168620.0,124.43,47.89,7547646464,NO,100.44,87.14,102.12,93.57
Leading Stocks (RS > 90),62,ENTG,161.43,4966868,Technology,Semiconductor Equipment & Materials,94.0,95.0,92.0,96.0,3078311.0,3974880.0,186.94,67.97,24585787392,NO,145.73,113.25,148.55,124.92
Leading Stocks (RS > 90),63,CARE,33.6,1061718,Financial Services,Banks - Regional,93.0,94.0,94.0,94.0,340753.0,458420.0,33.87,16.78,746659520,NO,27.22,21.79,27.93,23.38
Leading Stocks (RS > 90),64,TGTX,55.83,6842694,Healthcare,Biotechnology,93.0,97.0,95.0,95.0,2243495.0,3287280.0,57.38,25.28,8546656768,NO,41.74,34.21,42.84,34.66
Leading Stocks (RS > 90),65,NGNE,32.03,459694,Healthcare,Biotechnology,93.0,94.0,93.0,93.0,157164.0,165890.0,37.27,14.65,506134880,NO,28.64,23.43,28.97,23.03
Leading Stocks (RS > 90),66,RSI,31.56,5107659,Consumer Cyclical,Gambling,93.0,93.0,92.0,94.0,2303412.0,4224570.0,31.64,14.38,7308483584,NO,27.05,21.24,27.53,22.2
Leading Stocks (RS > 90),67,NPO,379.26,544656,Industrials,Specialty Industrial Machinery,93.0,94.0,93.0,94.0,249129.0,296800.0,390.42,189.03,8012498944,NO,316.68,256.36,322.23,271.22
Leading Stocks (RS > 90),68,PRSU,54.76,506055,Consumer Cyclical,Travel Services,93.0,95.0,93.0,93.0,240559.0,333620.0,55.7,27.92,1503121664,NO,44.53,37.93,45.42,39.12
Leading Stocks (RS > 90),69,MRX,64.23,2228444,Financial Services,Capital Markets,93.0,94.0,94.0,93.0,1116754.0,932600.0,67.35,27.91,4620120064,NO,56.12,41.91,57.03,46.07
Leading Stocks (RS > 90),70,HNGE,78.97,2326471,Healthcare,Health Information Services,93.0,97.0,96.0,92.0,1508559.0,2057990.0,79.26,30.08,6110708736,NO,55.63,48.15,58.52,47.86
Leading Stocks (RS > 90),71,AVBP,34.0,1612100,Healthcare,Biotechnology,92.0,94.0,93.0,92.0,527425.0,665050.0,35.83,16.1,1583547520,NO,29.9,23.66,30.12,25.44
Leading Stocks (RS > 90),72,FLXS,72.91,122701,Consumer Cyclical,"Furnishings, Fixtures & Appliances",92.0,94.0,93.0,94.0,54972.0,55830.0,74.9,32.65,297156448,NO,56.52,46.75,58.14,49.7
Leading Stocks (RS > 90),73,PRG,46.11,697056,Industrials,Rental & Leasing Services,92.0,95.0,94.0,92.0,460895.0,558520.0,46.11,25.8,1847423232,NO,35.58,32.35,36.57,33.24
Leading Stocks (RS > 90),74,LGIH,65.84,1121022,Consumer Cyclical,Residential Construction,91.0,97.0,95.0,93.0,426179.0,411110.0,69.5,33.55,1529613184,NO,48.91,48.28,50.2,48.17
Leading Stocks (RS > 90),75,BLBD,78.81,1018909,Industrials,Farm & Heavy Construction Machinery,91.0,91.0,91.0,92.0,426940.0,378430.0,81.51,42.0,2494067456,NO,68.43,57.72,69.91,59.45
Leading Stocks (RS > 90),76,HURC,22.53,58502,Industrials,Specialty Industrial Machinery,91.0,97.0,93.0,92.0,27464.0,55000.0,23.75,14.5,145911536,NO,18.16,16.98,18.88,17.03
Leading Stocks (RS > 90),77,CHEF,95.92,903127,Consumer Defensive,Food Distribution,91.0,95.0,94.0,91.0,492891.0,688040.0,97.63,53.2,3911389952,NO,79.1,66.36,82.06,69.81
"Top Movers (RS ≥ 85, Improving)",1,COGT,38.1,9948033,Healthcare,Biotechnology,96.0,89.0,48.0,22.0,2262525.0,2930230.0,43.73,7.07,6510070784,NO,34.57,31.57,34.52,36.18
